id,bidding_zone,timestamp,price_eur_mwh,created_at
98,NO1,2025-12-06 23:15:00+00,63.76,2025-12-07 16:47:52.222995+00
99,NO1,2025-12-06 23:30:00+00,64.27,2025-12-07 16:47:52.222995+00
100,NO1,2025-12-06 23:45:00+00,63.35,2025-12-07 16:47:52.222995+00
101,NO1,2025-12-07 00:00:00+00,64.29,2025-12-07 16:47:52.222995+00
102,NO1,2025-12-07 00:15:00+00,63.49,2025-12-07 16:47:52.222995+00
103,NO1,2025-12-07 00:30:00+00,63.68,2025-12-07 16:47:52.222995+00
104,NO1,2025-12-07 00:45:00+00,63.21,2025-12-07 16:47:52.222995+00
105,NO1,2025-12-07 01:00:00+00,62.75,2025-12-07 16:47:52.222995+00
106,NO1,2025-12-07 01:15:00+00,62.29,2025-12-07 16:47:52.222995+00
107,NO1,2025-12-07 01:30:00+00,61.91,2025-12-07 16:47:52.222995+00
108,NO1,2025-12-07 01:45:00+00,61.84,2025-12-07 16:47:52.222995+00
109,NO1,2025-12-07 02:00:00+00,61.25,2025-12-07 16:47:52.222995+00
110,NO1,2025-12-07 02:15:00+00,61.24,2025-12-07 16:47:52.222995+00
111,NO1,2025-12-07 02:30:00+00,61.40,2025-12-07 16:47:52.222995+00
112,NO1,2025-12-07 02:45:00+00,61.67,2025-12-07 16:47:52.222995+00
113,NO1,2025-12-07 03:00:00+00,63.63,2025-12-07 16:47:52.222995+00
114,NO1,2025-12-07 03:15:00+00,64.34,2025-12-07 16:47:52.222995+00
115,NO1,2025-12-07 03:30:00+00,64.72,2025-12-07 16:47:52.222995+00
116,NO1,2025-12-07 03:45:00+00,64.92,2025-12-07 16:47:52.222995+00
117,NO1,2025-12-07 04:00:00+00,63.39,2025-12-07 16:47:52.222995+00
118,NO1,2025-12-07 04:15:00+00,63.64,2025-12-07 16:47:52.222995+00
119,NO1,2025-12-07 04:30:00+00,64.97,2025-12-07 16:47:52.222995+00
120,NO1,2025-12-07 04:45:00+00,63.96,2025-12-07 16:47:52.222995+00
121,NO1,2025-12-07 05:00:00+00,62.47,2025-12-07 16:47:52.222995+00
122,NO1,2025-12-07 05:15:00+00,64.67,2025-12-07 16:47:52.222995+00
123,NO1,2025-12-07 05:30:00+00,64.46,2025-12-07 16:47:52.222995+00
124,NO1,2025-12-07 05:45:00+00,65.25,2025-12-07 16:47:52.222995+00
125,NO1,2025-12-07 06:00:00+00,67.38,2025-12-07 16:47:52.222995+00
126,NO1,2025-12-07 06:15:00+00,67.27,2025-12-07 16:47:52.222995+00
127,NO1,2025-12-07 06:30:00+00,68.56,2025-12-07 16:47:52.222995+00
128,NO1,2025-12-07 06:45:00+00,69.31,2025-12-07 16:47:52.222995+00
129,NO1,2025-12-07 07:00:00+00,68.08,2025-12-07 16:47:52.222995+00
130,NO1,2025-12-07 07:15:00+00,69.09,2025-12-07 16:47:52.222995+00
131,NO1,2025-12-07 07:30:00+00,69.97,2025-12-07 16:47:52.222995+00
132,NO1,2025-12-07 07:45:00+00,69.91,2025-12-07 16:47:52.222995+00
133,NO1,2025-12-07 08:00:00+00,70.72,2025-12-07 16:47:52.222995+00
134,NO1,2025-12-07 08:15:00+00,71.36,2025-12-07 16:47:52.222995+00
135,NO1,2025-12-07 08:30:00+00,71.92,2025-12-07 16:47:52.222995+00
136,NO1,2025-12-07 08:45:00+00,72.23,2025-12-07 16:47:52.222995+00
137,NO1,2025-12-07 09:00:00+00,73.13,2025-12-07 16:47:52.222995+00
138,NO1,2025-12-07 09:15:00+00,73.22,2025-12-07 16:47:52.222995+00
139,NO1,2025-12-07 09:30:00+00,73.47,2025-12-07 16:47:52.222995+00
140,NO1,2025-12-07 09:45:00+00,73.74,2025-12-07 16:47:52.222995+00
141,NO1,2025-12-07 10:00:00+00,73.58,2025-12-07 16:47:52.222995+00
142,NO1,2025-12-07 10:15:00+00,74.01,2025-12-07 16:47:52.222995+00
143,NO1,2025-12-07 10:30:00+00,74.24,2025-12-07 16:47:52.222995+00
144,NO1,2025-12-07 10:45:00+00,74.52,2025-12-07 16:47:52.222995+00
145,NO1,2025-12-07 11:00:00+00,74.77,2025-12-07 16:47:52.222995+00
146,NO1,2025-12-07 11:15:00+00,74.81,2025-12-07 16:47:52.222995+00
147,NO1,2025-12-07 11:30:00+00,74.84,2025-12-07 16:47:52.222995+00
148,NO1,2025-12-07 11:45:00+00,74.85,2025-12-07 16:47:52.222995+00
149,NO1,2025-12-07 12:00:00+00,74.87,2025-12-07 16:47:52.222995+00
150,NO1,2025-12-07 12:15:00+00,74.89,2025-12-07 16:47:52.222995+00
151,NO1,2025-12-07 12:30:00+00,74.86,2025-12-07 16:47:52.222995+00
152,NO1,2025-12-07 12:45:00+00,74.95,2025-12-07 16:47:52.222995+00
153,NO1,2025-12-07 13:00:00+00,75.03,2025-12-07 16:47:52.222995+00
154,NO1,2025-12-07 13:15:00+00,75.25,2025-12-07 16:47:52.222995+00
155,NO1,2025-12-07 13:45:00+00,75.39,2025-12-07 16:47:52.222995+00
156,NO1,2025-12-07 14:00:00+00,76.10,2025-12-07 16:47:52.222995+00
157,NO1,2025-12-07 14:15:00+00,76.23,2025-12-07 16:47:52.222995+00
158,NO1,2025-12-07 14:30:00+00,76.82,2025-12-07 16:47:52.222995+00
159,NO1,2025-12-07 14:45:00+00,76.91,2025-12-07 16:47:52.222995+00
160,NO1,2025-12-07 15:00:00+00,77.16,2025-12-07 16:47:52.222995+00
161,NO1,2025-12-07 15:15:00+00,77.25,2025-12-07 16:47:52.222995+00
162,NO1,2025-12-07 15:30:00+00,77.49,2025-12-07 16:47:52.222995+00
163,NO1,2025-12-07 15:45:00+00,77.66,2025-12-07 16:47:52.222995+00
164,NO1,2025-12-07 16:00:00+00,79.22,2025-12-07 16:47:52.222995+00
165,NO1,2025-12-07 16:15:00+00,79.49,2025-12-07 16:47:52.222995+00
166,NO1,2025-12-07 16:30:00+00,78.73,2025-12-07 16:47:52.222995+00
167,NO1,2025-12-07 16:45:00+00,78.27,2025-12-07 16:47:52.222995+00
168,NO1,2025-12-07 17:00:00+00,77.05,2025-12-07 16:47:52.222995+00
169,NO1,2025-12-07 17:15:00+00,76.95,2025-12-07 16:47:52.222995+00
170,NO1,2025-12-07 17:30:00+00,76.79,2025-12-07 16:47:52.222995+00
171,NO1,2025-12-07 17:45:00+00,75.82,2025-12-07 16:47:52.222995+00
172,NO1,2025-12-07 18:00:00+00,74.97,2025-12-07 16:47:52.222995+00
173,NO1,2025-12-07 18:15:00+00,74.22,2025-12-07 16:47:52.222995+00
174,NO1,2025-12-07 18:30:00+00,74.75,2025-12-07 16:47:52.222995+00
175,NO1,2025-12-07 18:45:00+00,72.87,2025-12-07 16:47:52.222995+00
176,NO1,2025-12-07 19:00:00+00,73.50,2025-12-07 16:47:52.222995+00
177,NO1,2025-12-07 19:15:00+00,74.12,2025-12-07 16:47:52.222995+00
178,NO1,2025-12-07 19:30:00+00,72.10,2025-12-07 16:47:52.222995+00
179,NO1,2025-12-07 19:45:00+00,70.04,2025-12-07 16:47:52.222995+00
180,NO1,2025-12-07 20:00:00+00,71.68,2025-12-07 16:47:52.222995+00
181,NO1,2025-12-07 20:15:00+00,69.40,2025-12-07 16:47:52.222995+00
182,NO1,2025-12-07 20:30:00+00,68.24,2025-12-07 16:47:52.222995+00
183,NO1,2025-12-07 20:45:00+00,65.99,2025-12-07 16:47:52.222995+00
184,NO1,2025-12-07 21:00:00+00,67.01,2025-12-07 16:47:52.222995+00
185,NO1,2025-12-07 21:15:00+00,64.24,2025-12-07 16:47:52.222995+00
186,NO1,2025-12-07 21:30:00+00,62.76,2025-12-07 16:47:52.222995+00
187,NO1,2025-12-07 21:45:00+00,61.05,2025-12-07 16:47:52.222995+00
188,NO1,2025-12-07 22:00:00+00,58.47,2025-12-07 16:47:52.222995+00
189,NO1,2025-12-07 22:15:00+00,55.33,2025-12-07 16:47:52.222995+00
190,NO1,2025-12-07 22:30:00+00,47.61,2025-12-07 16:47:52.222995+00
191,NO1,2025-12-07 22:45:00+00,38.75,2025-12-07 16:47:52.222995+00
2430,NO1,2025-12-07 23:00:00+00,33.79,2025-12-07 17:17:57.355679+00
2431,NO1,2025-12-07 23:15:00+00,43.52,2025-12-07 17:17:57.355679+00
2432,NO1,2025-12-07 23:30:00+00,43.03,2025-12-07 17:17:57.355679+00
2433,NO1,2025-12-07 23:45:00+00,39.49,2025-12-07 17:17:57.355679+00
2434,NO1,2025-12-08 00:00:00+00,39.08,2025-12-07 17:17:57.355679+00
2435,NO1,2025-12-08 00:15:00+00,39.02,2025-12-07 17:17:57.355679+00
2436,NO1,2025-12-08 00:30:00+00,36.47,2025-12-07 17:17:57.355679+00
2437,NO1,2025-12-08 00:45:00+00,27.90,2025-12-07 17:17:57.355679+00
2438,NO1,2025-12-08 01:00:00+00,40.17,2025-12-07 17:17:57.355679+00
2439,NO1,2025-12-08 01:15:00+00,34.15,2025-12-07 17:17:57.355679+00
2440,NO1,2025-12-08 01:30:00+00,33.49,2025-12-07 17:17:57.355679+00
2441,NO1,2025-12-08 01:45:00+00,33.07,2025-12-07 17:17:57.355679+00
2442,NO1,2025-12-08 02:00:00+00,36.42,2025-12-07 17:17:57.355679+00
2443,NO1,2025-12-08 02:15:00+00,36.30,2025-12-07 17:17:57.355679+00
2444,NO1,2025-12-08 02:30:00+00,36.25,2025-12-07 17:17:57.355679+00
2445,NO1,2025-12-08 02:45:00+00,36.27,2025-12-07 17:17:57.355679+00
2446,NO1,2025-12-08 03:00:00+00,37.77,2025-12-07 17:17:57.355679+00
2447,NO1,2025-12-08 03:15:00+00,38.58,2025-12-07 17:17:57.355679+00
2448,NO1,2025-12-08 03:30:00+00,38.37,2025-12-07 17:17:57.355679+00
2449,NO1,2025-12-08 03:45:00+00,39.31,2025-12-07 17:17:57.355679+00
2450,NO1,2025-12-08 04:00:00+00,38.47,2025-12-07 17:17:57.355679+00
2451,NO1,2025-12-08 04:15:00+00,38.05,2025-12-07 17:17:57.355679+00
2452,NO1,2025-12-08 04:30:00+00,46.50,2025-12-07 17:17:57.355679+00
2453,NO1,2025-12-08 04:45:00+00,53.86,2025-12-07 17:17:57.355679+00
2454,NO1,2025-12-08 05:00:00+00,53.43,2025-12-07 17:17:57.355679+00
2455,NO1,2025-12-08 05:15:00+00,57.73,2025-12-07 17:17:57.355679+00
2456,NO1,2025-12-08 05:30:00+00,60.49,2025-12-07 17:17:57.355679+00
2457,NO1,2025-12-08 05:45:00+00,63.33,2025-12-07 17:17:57.355679+00
2458,NO1,2025-12-08 06:00:00+00,63.62,2025-12-07 17:17:57.355679+00
2459,NO1,2025-12-08 06:15:00+00,65.87,2025-12-07 17:17:57.355679+00
2460,NO1,2025-12-08 06:30:00+00,66.69,2025-12-07 17:17:57.355679+00
2461,NO1,2025-12-08 06:45:00+00,67.18,2025-12-07 17:17:57.355679+00
2462,NO1,2025-12-08 07:00:00+00,68.85,2025-12-07 17:17:57.355679+00
2463,NO1,2025-12-08 07:15:00+00,68.94,2025-12-07 17:17:57.355679+00
2464,NO1,2025-12-08 07:30:00+00,68.82,2025-12-07 17:17:57.355679+00
2465,NO1,2025-12-08 07:45:00+00,68.87,2025-12-07 17:17:57.355679+00
2466,NO1,2025-12-08 08:00:00+00,69.13,2025-12-07 17:17:57.355679+00
2467,NO1,2025-12-08 08:15:00+00,69.16,2025-12-07 17:17:57.355679+00
2468,NO1,2025-12-08 08:30:00+00,69.23,2025-12-07 17:17:57.355679+00
2469,NO1,2025-12-08 08:45:00+00,69.27,2025-12-07 17:17:57.355679+00
2470,NO1,2025-12-08 09:00:00+00,69.28,2025-12-07 17:17:57.355679+00
2471,NO1,2025-12-08 09:15:00+00,69.29,2025-12-07 17:17:57.355679+00
2472,NO1,2025-12-08 09:30:00+00,69.00,2025-12-07 17:17:57.355679+00
2473,NO1,2025-12-08 09:45:00+00,68.90,2025-12-07 17:17:57.355679+00
2474,NO1,2025-12-08 10:00:00+00,68.59,2025-12-07 17:17:57.355679+00
2475,NO1,2025-12-08 10:15:00+00,68.25,2025-12-07 17:17:57.355679+00
2476,NO1,2025-12-08 10:30:00+00,68.44,2025-12-07 17:17:57.355679+00
2477,NO1,2025-12-08 10:45:00+00,68.25,2025-12-07 17:17:57.355679+00
2478,NO1,2025-12-08 11:00:00+00,69.12,2025-12-07 17:17:57.355679+00
2479,NO1,2025-12-08 11:15:00+00,68.82,2025-12-07 17:17:57.355679+00
2480,NO1,2025-12-08 11:30:00+00,69.18,2025-12-07 17:17:57.355679+00
2481,NO1,2025-12-08 11:45:00+00,69.22,2025-12-07 17:17:57.355679+00
2482,NO1,2025-12-08 12:00:00+00,68.42,2025-12-07 17:17:57.355679+00
2483,NO1,2025-12-08 12:15:00+00,68.43,2025-12-07 17:17:57.355679+00
2484,NO1,2025-12-08 12:30:00+00,68.36,2025-12-07 17:17:57.355679+00
2485,NO1,2025-12-08 12:45:00+00,68.46,2025-12-07 17:17:57.355679+00
2486,NO1,2025-12-08 13:00:00+00,67.88,2025-12-07 17:17:57.355679+00
2487,NO1,2025-12-08 13:15:00+00,68.11,2025-12-07 17:17:57.355679+00
2488,NO1,2025-12-08 13:30:00+00,68.38,2025-12-07 17:17:57.355679+00
2489,NO1,2025-12-08 13:45:00+00,68.58,2025-12-07 17:17:57.355679+00
2490,NO1,2025-12-08 14:00:00+00,68.33,2025-12-07 17:17:57.355679+00
2491,NO1,2025-12-08 14:15:00+00,68.51,2025-12-07 17:17:57.355679+00
2492,NO1,2025-12-08 14:30:00+00,68.61,2025-12-07 17:17:57.355679+00
2493,NO1,2025-12-08 14:45:00+00,69.06,2025-12-07 17:17:57.355679+00
2494,NO1,2025-12-08 15:00:00+00,69.20,2025-12-07 17:17:57.355679+00
2495,NO1,2025-12-08 15:15:00+00,69.27,2025-12-07 17:17:57.355679+00
2496,NO1,2025-12-08 15:30:00+00,69.45,2025-12-07 17:17:57.355679+00
2497,NO1,2025-12-08 15:45:00+00,69.61,2025-12-07 17:17:57.355679+00
2498,NO1,2025-12-08 16:00:00+00,70.00,2025-12-07 17:17:57.355679+00
2499,NO1,2025-12-08 16:15:00+00,70.02,2025-12-07 17:17:57.355679+00
2500,NO1,2025-12-08 16:30:00+00,70.00,2025-12-07 17:17:57.355679+00
2501,NO1,2025-12-08 16:45:00+00,69.99,2025-12-07 17:17:57.355679+00
2502,NO1,2025-12-08 17:00:00+00,69.18,2025-12-07 17:17:57.355679+00
2503,NO1,2025-12-08 17:15:00+00,68.99,2025-12-07 17:17:57.355679+00
2504,NO1,2025-12-08 17:30:00+00,68.79,2025-12-07 17:17:57.355679+00
2505,NO1,2025-12-08 17:45:00+00,68.59,2025-12-07 17:17:57.355679+00
2506,NO1,2025-12-08 18:00:00+00,68.33,2025-12-07 17:17:57.355679+00
2507,NO1,2025-12-08 18:15:00+00,68.02,2025-12-07 17:17:57.355679+00
2508,NO1,2025-12-08 18:30:00+00,67.77,2025-12-07 17:17:57.355679+00
2509,NO1,2025-12-08 18:45:00+00,67.46,2025-12-07 17:17:57.355679+00
2510,NO1,2025-12-08 19:00:00+00,67.43,2025-12-07 17:17:57.355679+00
2511,NO1,2025-12-08 19:15:00+00,67.24,2025-12-07 17:17:57.355679+00
2512,NO1,2025-12-08 19:30:00+00,66.83,2025-12-07 17:17:57.355679+00
2513,NO1,2025-12-08 19:45:00+00,66.54,2025-12-07 17:17:57.355679+00
2514,NO1,2025-12-08 20:00:00+00,67.14,2025-12-07 17:17:57.355679+00
2515,NO1,2025-12-08 20:15:00+00,66.87,2025-12-07 17:17:57.355679+00
2516,NO1,2025-12-08 20:30:00+00,66.43,2025-12-07 17:17:57.355679+00
2517,NO1,2025-12-08 20:45:00+00,64.91,2025-12-07 17:17:57.355679+00
2518,NO1,2025-12-08 21:00:00+00,66.43,2025-12-07 17:17:57.355679+00
2519,NO1,2025-12-08 21:15:00+00,66.03,2025-12-07 17:17:57.355679+00
2520,NO1,2025-12-08 21:30:00+00,65.38,2025-12-07 17:17:57.355679+00
2521,NO1,2025-12-08 21:45:00+00,63.03,2025-12-07 17:17:57.355679+00
2522,NO1,2025-12-08 22:00:00+00,65.18,2025-12-07 17:17:57.355679+00
2523,NO1,2025-12-08 22:15:00+00,64.61,2025-12-07 17:17:57.355679+00
2524,NO1,2025-12-08 22:30:00+00,64.71,2025-12-07 17:17:57.355679+00
2525,NO1,2025-12-08 22:45:00+00,62.70,2025-12-07 17:17:57.355679+00
2526,NO1,2025-12-09 23:00:00+00,48.53,2025-12-11 13:21:02.064435+00
2527,NO1,2025-12-09 23:15:00+00,51.22,2025-12-11 13:21:02.064435+00
2528,NO1,2025-12-09 23:30:00+00,47.49,2025-12-11 13:21:02.064435+00
